name,ring,quadrant,isNew,description
AccessGov,Adopt,NIC,FALSE,"AccessGov is a low-code, self-service tool designed to simplify the common tasks of collecting & processing data related to digital government transactions. Originally developed by the Montana team, AccessGov is maintained and enhanced by the Licensing Vertical team in the NIC division. Using a low-code tool can reduce maintenance challenges with custom-developed web applications and allows easier sharing of those forms across state enterprises. This can speed up the time to deliver a service and even put control of that service in the hands of our state partners through the self-service console. AccessGov is delivered through Azure and can scale to meet the needs of any state enterprise. This puts it as the go-to solution for quick forms and part of the NIC Enterprise Foundation Platform."
Microsoft Exchange,Hold,COTS,FALSE,"Microsoft Exchange  is a solution that delivers email, calendar, contacts, and tasks from PCs, the web, and mobile devices.  The infrastructure group manages Exchange.  Exchange is one of the primary communication tools at the company."
DataDog,Evaluate,COTS,FALSE,"Datadog is an observability service for cloud-scale applications, providing monitoring of servers, databases, tools, and services, through a SaaS-based data analytics platform.  "
Funnelback,Evaluate,COTS,FALSE,"Funnelback is a powerful search and insights engine that can provide holistic or targeted searches across your different content repositories.  Funnelback also includes a suite of tools that can be used to transform, audit and analyse your content."
Monetra,Adopt,COTS,FALSE,"Monetra is a fast, efficient and secure payment application. It's designed to scale from small custom embedded devices to fully redundant payment servers processing thousands of transactions per minute. Trusted for over 20 years by thousands of merchants throughout North America, Monetra is the premier product of its type."
MioSoft,Hold,COTS,FALSE,MIOsoft delivers a series of products from contextual data quality analytics to a rapid development & real-time execution platform on which clients can build and operate real-time predictive and contextual analytical applications. 
SQUIZ,Hold,COTS,FALSE,"Squiz is a global Software company that combines market leading technology and services in digital design, build and implementation to deliver enterprise grade websites, portals, intranets and digital apps."
AppEngine,Hold,NIC,FALSE,"AppEngine is a low-code tool designed to simplify the common tasks of collecting & processing data related to digital government transactions. Initially developed by the Kentucky team, AppEngine is maintained and enhanced by the Licensing Vertical team in the NIC division. Using a low-code tool can reduce maintenance challenges with custom-developed web applications and allows easier sharing of those forms across state enterprises. NIC hosts AppEngine in its colocation data centers. AccessGov should be considered as an alternative when implementing a low code environment."
CCP,Adopt,NIC,FALSE,"CCP is an online payment checkout page added to e-commerce applications as a PCI Compliant SaaS component. The Texas state enterprise developed CCP, and the Payment Product Vertical maintains the CCP application. CCP is a turnkey, secure payment solution integrated into NIC's TPE for payment processing, disbursements, and reconciliation.  "
CDB,Adopt,NIC,FALSE,"NIC central IT developed CDB as the first NIC centralized application. CDB fulfills the core business functionality of billing, invoicing, and scheduled payments. CDB also exposes many other key functionalities not related to billing. The Payment Vertical of the NIC Division maintains the CDB application. CDB is the heart of the financial payment system.  "
Devices Client,Hold,NIC,FALSE,The device's client is a client-installed application that bridges the USB Payment Device to the Browser-Based Application. NIC Central ID Developed the Devices Client application and continues to maintain it today. The Devices Client application plays a crucial role in enabling device-based over-the-counter payments through TPE.
ELP,Adopt,NIC,FALSE,"ELP is a configuration-first, low-code pluggable Application Framework. NIC's central IT developed ELP. The Licensing Vertical now maintains ELP. ELP is a Multi-tenant Cloud (AWS) hosted SaaS solution that supports ""configure first"" when adding additional tenants and license types and provides back-end administration functionality for managing licenses."
Event Registration,Sunset,NIC,FALSE,Event Registration is a configurable SaaS solution that allows people to register for events. This application is sunset.
Gov2Go,Adopt,NIC,FALSE,Gov2Go is a citizen engagement platform developed by the Arkansas portal and was re-platformed by central IT. The Gov2Go Vertical now maintains the Gov2Go application. Gov2Go is the central component of the citizen user experience and is paramount to the NIC Enterprise Foundation Platform. 
MSP,Adopt,NIC,FALSE,MSP is a Cloud (AWS) hosted microservice platform with many building blocks to support application development. MSP was developed by central IT and is maintained by the MSP vertical of the NIC Division. MSP is an enabling platform to promote innovation and capture economies of scale. MSP is also a central part of the NIC Enterprise Foundation Platform. 
NIC Wallet API V2,Adopt,NIC,FALSE,The NIC Wallet API is the Service tier and Component UI for storing payment information for a user and requesting payments through TPE. NIC Central IT developed the NIC Wallet API and the Payment Vertical of the NIC Division maintains the code today. The NIC Wallet API is a java script IFrame that Eliminates PCI scope for applications that leverage it and utilizes identity management to associate a user with a reusable payment method.  
CardVault / EGX,Sunset,NIC,FALSE,The Card Vault / EGX was developed by Central IT and used identity to associate a user with payment methods. This product is sunset.
NLS,Adopt,NIC,FALSE,"NLS is Tyler's pure-play cannabis solution. Complia built the first versions, which NIC acquired in 2019. Camunda's open-source workflow framework serves as the core of NLS. To add a tenant, NIC builds a unique UI on top of a standardized technology stack."
OOD Licenses,Adopt,NIC,FALSE,OOD Licenses is the comprehensive multi-tenant hunting/fishing license SaaS hosted in AWS. OOD License was developed by the Wisconsin portal and then heavily modified by the OOD Vertical who maintains it to this day. The OOD Licensing product is NIC's Hunt Fish Licensing Ecommerce solution.  
OOD Reservations,Hold,NIC,FALSE,Campground Reservations is NIC's custom built campground reservation application deployed in AWS. The one outdoor vertical maintains the software. NIC should look at US eDirect as alternative if this functionality is needed.  
OTC,Adopt,NIC,FALSE,OTC is NIC's cashiering solution to support over the counter transactions. OTC was originally developed by AIS and is maintained by the Payment Vertical of the NIC Division today. OTC is a simple cashiering solution that is useful for one or two person offices that have over the counter point of sale. US eDirect should be considered if more advanced functionality is needed.
OTG Mobile Inspections,Adopt,NIC,FALSE,Mobile Inspections application configurable for various uses. Supports offline capability and will sync once connectivity is restored
OTG Pay Mobile,Adopt,NIC,FALSE,OTG Pay Mobile is a mobile application for processing credit/debit card payments offline or online. The Nebraska Portal developed the OTG Pay Mobile Application and OTG Pay is now maintained by the Payment Vertical of the NIC Division. OTG Pay enables offline payment transactions through a mobile device and leverages TPE for transaction processing.  
USeDirect ,Adopt,NIC,FALSE,"US eDirect is a flexible reservation system that supports campgrounds, events etc. Supports back-office functionality such as facilities management, check-in etc. Point of sale module supports inventory management and can function offline. US eDirect's applications were developed by them and purchased by NIC in 2022. US eDirect maintains the software to date. US eDirect is core to the outdoor recreation space containing more advanced functionality than NIC's offerings for reservation and cashiering."
RxGov,Adopt,NIC,FALSE,RXGov is NIC's PDMP solution. LeapOrbit built RXGov and NIC subsequently purchased the RXGov Software in 2018 and enhanced the software. The Health Care vertical of NIC maintains the code to date. RXGov is NIC's Multi-instance cloud based (Azure) PDMP.  
TPE,Adopt,NIC,FALSE,"TPE is the foundation of the NIC's Payment ecosystem. Central IT developed TPE and NIC's payment vertical now maintains the code.  TPE exposes APIs for payment processing, reports on financial data, and interfaces for the management of payments and financial data.   "
Vital Records,Sunset,NIC,FALSE,"Vital Records is a multi-tenant SaaS application that supports the purchase of birth certificates, death certificates, and other vital records. Central IT Developed Vital Records and the Health Care vertical with help from AIS and New Jersey now maintain the application.  Vital Records is targeted for sunset."
Voucher Payment Service,Adopt,NIC,FALSE,"The Voucher Payment Service facilitates cash payments for online transactions by accepting cash at a brick-and-mortar location and issuing a voucher for later use in an online transaction. The NIC Payments Vertical developed the application, and they continue to maintain it. The Voucher Payment Service enables online payments by people who do not have credit cards or checking accounts."
YourPassNow,Evaluate,NIC,FALSE,Your Pass Now enables the selling state passes to constituents and the validation of state passes by administrators. Your pass now was developed by NIC and is maintained portals and the one outdoor vertical. Your Pass Now is a park pass solution that duplicates some functionality of US eDirect. 
NIC Wallet API V1,Sunset,NIC,FALSE,The NIC Wallet API is the Service tier and Component UI for storing payment information and requesting payments through TPE. The NIC Wallet API was developed by the Payment Team and is maintained by them to this day. The NIC Wallet API is a java script Iframe that Eliminates PCI scope for applications that leverage it and utilizes identity management to associate a user with a resuable payment method.  
SmartOnFhir,Adopt,NIC,FALSE,SmartOnFhir is NIC's Lightweight application designed to interface with EMR Applications over a standard FHIR protocol.  SmartOnFhir is NIC's Lightweight application designed to interface with EMR Applications over a standard FHIR protocol.  NIC developed the SmartOnFhir application and the HealthCare Vertical maintains the software.  
Acquia Drupal,Adopt,SAAS,FALSE,"Acquia offers a low-code solution for Drupal - Site Studio. It empowers developers to manage templates and build content components in the UI without deploying code, and enables business users to create pages using a visual, component based interface."
Apple Business Chat,Adopt,SAAS,FALSE,Apple Business Chat is a service from Apple that allows your organization to directly chat with your customers using the Messages app. 
Azure Bot Services,Adopt,SAAS,FALSE,Azure Bot Service is Microsoft's artificial intelligence (AI) chatbot offered as a service on the Azure cloud service marketplace. Azure Bot Service offers the ability to add intelligent agents that are capable of conversation without having to commit the resources to develop one's own AI.
Basecamp,Adopt,SAAS,FALSE,"Basecamp is a real-time collaboration tool that helps teams stay in touch, allowing users to create projects, track progress, and manage tasks."
Bridge LMS,Adopt,SAAS,FALSE,"Bridge is a learning management system and platform for all things performance, "
Chatbot.com,Adopt,SAAS,FALSE,Chatbot.com An all-in-one platform to build and launch conversational chatbots without coding.
Confluence,Adopt,SAAS,FALSE,Confluence is a web-based corporate wiki developed by Australian software company Atlassian.
Cronitor,Adopt,SAAS,FALSE,"Cronitor is a monitoring service for cron jobs, workers, services, APIs and anything else that can make or receive network requests. "
DataMotion,Hold,SAAS,FALSE,DataMotion is a leading secure API company and provides a suite of APIs that enable secure digital business.  
ESRI,Adopt,SAAS,FALSE,"Esri is an international supplier of geographic information system software, web GIS and geodatabase management applications.  Esri's offers GIS mapping software."
HotJar,Adopt,SAAS,FALSE,"Hotjar is a powerful tool that reveals the online behavior and voice of your users. By combining both Analysis and Feedback tools, Hotjar gives you the 'big picture' of how to improve your site's user experience and performance/conversion rates."
Jira Service Managment,Adopt,SAAS,FALSE,"Jira Service Management is Atlassian's next-generation ITSM solution and provides better support for ITSM, incident management, and change management."
LiveChat,Adopt,SAAS,FALSE,"LiveChat is an online customer service software with online chat, help desk software, and web analytics capabilities. "
MapBox,Adopt,SAAS,FALSE,Mapbox is an American provider of custom online maps for websites and applications.
MoveIT,Hold,SAAS,FALSE,"MOVEit is a managed file transfer software produced by Ipswitch, Inc. MOVEit encrypts files and uses secure File Transfer Protocols to transfer data with automation, analytics and failover options."
Qualtrics,Hold,SAAS,FALSE,"Qualtrics offers a cloud-based subscription software platform for experience management, which is is the practice of designing and improving products, services, and experiences for businesses and other organizations."
QueueIT,Adopt,SAAS,FALSE,Queue-it is a private Danish company founded in 2010. It has developed systems to cope with website traffic congestion by directing visitors to a queue where they can wait until access can be facilitated.
SalesForce,Evaluate,SAAS,FALSE,"Salesforce, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management software and applications focused on sales, customer service, marketing automation, analytics, and application development."
SendGrid,Adopt,SAAS,FALSE,SendGrid delivers your transactional and marketing emails through the world's largest cloud-based email delivery platform
SmartSheet,Adopt,SAAS,FALSE,"Smartsheet is a software as a service offering for collaboration and work management, developed and marketed by Smartsheet Inc. It is used to assign tasks, track project progress, manage calendars, share documents, and manage other work, using a tabular user interface."
State Provide CMS,Adopt,SAAS,FALSE,Any of a number of Content Management Systems provided by a state partner. 
Trumba,Adopt,SAAS,FALSE,"Trumba offers web-hosted event calendar software for publishing online, interactive, calendars of events."
Twilio,Adopt,SAAS,FALSE,"Twilio is an American company based in San Francisco, California, which provides programmable communication tools for making and receiving phone calls, sending and receiving text messages, and performing other communication functions using its web service APIs."
UptimeRobot,Adopt,SAAS,FALSE,UptimeRobot is a website availability monitoring service.
Zendesk,Adopt,SAAS,FALSE,"Zendesk is an American company headquartered in San Francisco, California. It provides software-as-a-service products related to customer support, sales, and other customer communications."
Zoho,Adopt,SAAS,FALSE,Zoho Corporation makes web-based business tools and is best known for the online office suite offering Zoho Office Suite.
Tyler Cashier,Adopt,Tyler,FALSE,"Designed to manage revenue collection from multiple locations and collection points, Tyler Cashiering makes it easy for public sector agencies to accept over-the-counter and back-office payments for bills, fees, tickets, and fines. Tyler Cashiering allows for a wide range of customization based on payment type. It integrates with local resources, such as OCR and handheld bar code scanners, printers, and validators, as well as MICR devices, and has standard interfaces to other Tyler products and the potential to connect to third-party systems. Tyler Cashiering offers secured EMV credit card processing features and is compliant with PCI/PA-DSS security standards. Coupled with Tyler Payments, Tyler Cashiering serves as an end-to-end payment processing solution."
CAVU,Hold,Tyler,FALSE,"CAVU eLicense is a commercial, off-the-shelf (COTS) modular application designed to meet the ever-changing needs of agencies that regulate a wide range of professions, occupations, businesses, and industries. It streamlines all licensing and enforcement processes, including revenue management, reporting and analytics, inspections, case management, examinations, and continuing education, with centralized contact management and document management."
EnerGov,Hold,Tyler,FALSE,"EnerGov is developed from the ground up specifically for local government regulatory workflow and workforce management.  The solution has a modern user experience, is fully SaaS, and uses open web services architecture."
Case Management,Evaluate,Tyler,FALSE,The Entellitrak¨ platform is the only low-code application development platform for case management that is purpose-built for the public sector. It allows agencies to develop and deploy case management and business process management applications that specifically follow their processes and meet their needs.
State Regulatory,Evaluate,Tyler,FALSE,State licensing excellarator built ontop of Tyler Case Management
Enterprise Permitting & Licensing,Evaluate,Tyler,FALSE,Enterprise Permitting & Licensing
