,,,,,,,,,
,,Cache/IMDB::Elasticache,Elasticache,,,,,,
,,Cache/IMDB::Memcached,Memcached,,,,,,
,,Cache/IMDB::Redis,Redis,,,,,,
,,CDN::AWS Cloudfront,AWS Cloudfront,,,,,,
,,CMS::Custom Developed CMS,Custom Developed CMS,,,,,,
,,CMS::Drupal,Drupal,,,,,,
,,CMS::Microsoft Sharepoint,Microsoft Sharepoint,,,,,,
,,CMS::SiteCore,SiteCore,,,,,,
,,CMS::Umbraco,Umbraco,,,,,,
,,CMS::Wordpress,Wordpress,,,,,,
,,DB Tech::DynamoDB,DynamoDB,,,,,,
,,DB Tech::IndexDB,IndexDB,,,,,,
,,DB Tech::MariaDB,MariaDB,,,,,,
,,DB Tech::Microsoft SQL Server,Microsoft SQL Server,,,,,,
,,DB Tech::Mongo DB,Mongo DB,,,,,,
,,DB Tech::MySQL,MySQL,,,,,,
,,DB Tech::Oracle,Oracle,,,,,,
,,DB Tech::PostgreSQL,PostgreSQL,,,,,,
,,DB Tech::SQLite,SQLite,,,,,,
,,DevLang::.NET,.NET,,,,,,
,,DevLang::.NET Core,.NET Core,,,,,,
,,DevLang::.NET Framework,.NET Framework,,,,,,
,,DevLang::Groovy on Grails,Groovy on Grails,,,,,,
,,DevLang::Java,Java,,,,,,
,,DevLang::Java MVC Struts,Java MVC Struts,,,,,,
,,DevLang::Laravel,Laravel,,,,,,
,,DevLang::Perl,Perl,,,,,,
,,DevLang::PHP,PHP,,,,,,
,,DevLang::Python,Python,,,,,,
,,DevLang::Ruby on Rails,Ruby on Rails,,,,,,
,,DevLang::Spring Boot,Spring Boot,,,,,,
,,IAM::CAS,CAS,,,,,,
,,IAM::Devise,Devise,,,,,,
,,IAM::ForgeRock,ForgeRock,,,,,,
,,IAM::HI - Lala,HI - Lala,,,,,,
,,IAM::Microsoft AD,Microsoft AD,,,,,,
,,IAM::Mini Orange SSO,Mini Orange SSO,,,,,,
,,IAM::MSP,MSP,,,,,,
,,IAM::NIC CDB,NIC CDB,,,,,,
,,IAM::NIC ID,NIC ID,,,,,,
,,IAM::Okta,Okta,,,,,,
,,IAM::Open LDAP,Open LDAP,,,,,,
,,IAM::Redhat IPA,Redhat IPA,,,,,,
,,IAM::Secure ID,Secure ID,,,,,,
,,IAM::Spring Security,Spring Security,,,,,,
,,IAM::State IAM,State IAM,,,,,,
,,IAM::TID-C,TID-C,,,,,,
,,IAM::TID-W,TID-W,,,,,,
,,Infrastructure::Apache,Apache,,,,,,
,,Infrastructure::Cerberus FTP,Cerberus FTP,,,,,,
,,Infrastructure::Phusion Passenger,Phusion Passenger,,,,,,
,,Messaging::AWS SNS,AWS SNS,,,,,,
,,Messaging::AWS SQS,AWS SQS,,,,,,
,,Messaging::MuleSoft,MuleSoft,,,,,,
,,Mobile::Bootstrap,Bootstrap,,,,,,
,,Mobile::Cordova,Cordova,,,,,,
,,Mobile::Flutter,Flutter,,,,,,
,,Mobile::Ionic,Ionic,,,,,,
,,Mobile::Native Mobile,Native Mobile,,,,,,
,,Mobile::React Native,React Native,,,,,,
,,Mobile::Xamarin,Xamarin,,,,,,
,,Monitoring::Cronitor,Cronitor,,,,,,
,,Monitoring::New Relic,New Relic,,,,,,
,,Monitoring::UptimeRobot,UptimeRobot,,,,,,
,,OS::Android,Android,,,,,,
,,OS::AWS Linux,AWS Linux,,,,,,
,,OS::CentOS,CentOS,,,,,,
,,OS::iOS,iOS,,,,,,
,,OS::Microsoft Windows,Microsoft Windows,,,,,,
,,OS::Oracle Linux,Oracle Linux,,,,,,
,,OS::RHEL,RHEL,,,,,,
,,OS::Rocky Linux,Rocky Linux,,,,,,
,,OS::Ubuntu,Ubuntu,,,,,,
,,RAI::Angular,Angular,,,,,,
,,RAI::Bootstrap,Bootstrap,,,,,,
,,RAI::Java Script,Java Script,,,,,,
,,RAI::JQuery,JQuery,,,,,,
,,RAI::JSF,JSF,,,,,,
,,RAI::Knockout,Knockout,,,,,,
,,RAI::NodeJS,NodeJS,,,,,,
,,RAI::React,React,,,,,,
,,RAI::Vue JS,Vue JS,,,,,,
,,Reporting/BI::ART,ART,,,,,,
,,Reporting/BI::JasperSoft,JasperSoft,,,,,,
,,Reporting/BI::Microsoft SSRS,Microsoft SSRS,,,,,,
,,Reporting/BI::Socrata,Socrata,,,,,,
,,Reporting/BI::Tableau,Tableau,,,,,,
,,Reporting/BI::Telerik,Telerik,,,,,,
,,Search::Algolia,Algolia,,,,,,
,,Search::Apache SOLR,Apache SOLR,,,,,,
,,Search::Azure Cognitive Services,Azure Cognitive Services,,,,,,
,,Search::Expression Engine,Expression Engine,,,,,,
,,Search::MapBox,MapBox,,,,,,
,,Translation::MotionPoint,MotionPoint,,,,,,
,,Translation::Smartling,Smartling,,,,,,
,,Workflow/Rules::Activiti,Activiti,,,,,,
,,Workflow/Rules::Camunda,Camunda,,,,,,
